Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Current week","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Current week, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2017","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2016","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2016, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Current week","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Current week, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2017","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2016","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2016, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Current week","Ehrlichiosis and Anaplasmosis§, Undetermined, Current week, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2017","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2016","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2016, flag",Location 1,Location 2
NEW ENGLAND,2017,29,,-,1,,7,,16,,37,,25,,29,,105,,868,,952,,,-,0,,2,,5,,3,,,
MID. ATLANTIC,2017,29,6,,2,,65,,70,,87,,75,,13,,77,,665,,451,,,-,0,,3,,14,,22,,,
NEVADA,2017,29,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
WEST VIRGINIA,2017,29,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MICHIGAN,2017,29,,-,0,,2,,1,,6,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
W.S. CENTRAL,2017,29,9,,3,,67,,114,,123,,,-,0,,3,,2,,7,,,-,0,,1,,,-,,-,,
ALASKA,2017,29,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
SOUTH DAKOTA,2017,29,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW MEXICO,2017,29,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
AMER. SAMOA,2017,29,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
NORTH DAKOTA,2017,29,,-,0,,1,,,-,1,,,-,0,,2,,7,,8,,,-,0,,0,,,-,3,,"NORTH DAKOTA
(47.475879, -100.121011)",
DELAWARE,2017,29,,-,0,,3,,10,,10,,,-,0,,2,,4,,4,,,-,0,,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
SOUTH CAROLINA,2017,29,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,"SOUTH CAROLINA
(34.009286, -81.037094)",
ARIZONA,2017,29,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,2,,2,,"ARIZONA
(34.869712, -111.760902)",
NEW YORK CITY,2017,29,,-,0,,4,,10,,1,,4,,0,,4,,24,,27,,,-,0,,1,,3,,,-,,
ILLINOIS,2017,29,,-,0,,2,,6,,28,,,-,0,,2,,1,,6,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
LOUISIANA,2017,29,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
GUAM,2017,29,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(13.3532, 144.653198)",
MOUNTAIN,2017,29,,-,0,,0,,,-,1,,,-,0,,1,,2,,,-,,-,0,,1,,2,,2,,,
E.N. CENTRAL,2017,29,,-,1,,6,,33,,54,,,-,9,,44,,321,,410,,1,,1,,7,,33,,41,,,
NEW YORK,2017,29,6,,2,,64,,38,,34,,71,,11,,70,,575,,334,,,-,0,,3,,9,,11,,"NEW YORK
(42.826892, -75.544286)",
C.N.M.I.,2017,29,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ILLINOIS,2017,30,,-,0,,2,,6,,28,,,-,0,,1,,1,,6,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
WYOMING,2017,30,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
WEST VIRGINIA,2017,30,,-,0,,1,,1,,5,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
PENNSYLVANIA,2017,30,,-,0,,1,,,-,3,,,-,0,,10,,1,,29,,,-,0,,2,,,-,7,,"PENNSYLVANIA
(40.789676, -77.858055)",
VIRGINIA,2017,30,3,,0,,8,,32,,52,,1,,0,,2,,9,,7,,,-,0,,1,,1,,3,,"VIRGINIA
(37.542699, -78.45822)",
OREGON,2017,30,,-,0,,1,,,-,1,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
GUAM,2017,30,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(13.3532, 144.653198)",
RHODE ISLAND,2017,30,,-,0,,6,,4,,20,,,-,1,,18,,24,,74,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MISSISSIPPI,2017,30,,-,0,,2,,4,,6,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MOUNTAIN,2017,30,,-,0,,0,,,-,1,,,-,0,,1,,2,,,-,,-,0,,1,,3,,2,,,
E.S. CENTRAL,2017,30,2,,2,,12,,99,,97,,1,,0,,3,,14,,8,,1,,0,,2,,5,,6,,,
GEORGIA,2017,30,,-,0,,1,,1,,11,,,-,0,,0,,,-,,-,,-,0,,1,,1,,2,,"GEORGIA
(32.836038, -83.631709)",
CONNECTICUT,2017,30,,-,0,,0,,,-,1,,,-,0,,8,,,-,45,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
OHIO,2017,30,,-,0,,2,,10,,6,,1,,0,,2,,4,,3,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
W.S. CENTRAL,2017,30,3,,3,,67,,120,,136,,,-,0,,3,,3,,7,,,-,0,,1,,,-,,-,,
NEW JERSEY,2017,30,,-,1,,5,,31,,54,,,-,2,,9,,70,,74,,,-,0,,2,,2,,4,,"NEW JERSEY
(40.104655, -74.386686)",
MID. ATLANTIC,2017,30,2,,3,,65,,86,,97,,83,,13,,82,,759,,492,,4,,0,,3,,18,,22,,,
OKLAHOMA,2017,30,,-,0,,60,,3,,1,,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH DAKOTA,2017,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MARYLAND,2017,30,,-,0,,4,,17,,30,,,-,0,,1,,4,,5,,,-,0,,1,,1,,1,,"MARYLAND
(39.290443, -76.612333)",
IOWA,2017,30,,-,0,,2,,5,,2,,,-,0,,1,,3,,3,,,-,0,,1,,1,,2,,"IOWA
(42.46942, -93.815856)",
FLORIDA,2017,30,,-,0,,2,,7,,17,,,-,0,,1,,3,,4,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NORTH DAKOTA,2017,30,,-,0,,1,,,-,1,,,-,0,,2,,7,,8,,,-,0,,0,,,-,3,,"NORTH DAKOTA
(47.475879, -100.121011)",
ARKANSAS,2017,30,3,,3,,12,,107,,127,,,-,0,,1,,2,,7,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEW ENGLAND,2017,30,,-,1,,7,,16,,38,,23,,29,,105,,903,,1010,,1,,0,,2,,6,,3,,,
NEW MEXICO,2017,30,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
E.N. CENTRAL,2017,30,,-,1,,6,,37,,56,,3,,8,,49,,375,,429,,1,,1,,6,,38,,44,,,
W.N. CENTRAL,2017,30,5,,4,,25,,200,,201,,,-,2,,32,,21,,546,,,-,0,,2,,5,,37,,,
PUERTO RICO,2017,30,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
IDAHO,2017,30,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
NEVADA,2017,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
VERMONT,2017,30,,-,0,,1,,4,,2,,3,,3,,26,,140,,80,,,-,0,,1,,4,,1,,"VERMONT
(43.622479, -72.51927)",
NEW HAMPSHIRE,2017,30,,-,0,,1,,1,,6,,,-,0,,1,,3,,51,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
PACIFIC,2017,30,,-,0,,1,,,-,1,,,-,0,,2,,,-,4,,,-,0,,4,,4,,1,,,
COLORADO,2017,30,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
ARIZONA,2017,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,3,,2,,"ARIZONA
(34.869712, -111.760902)",
KANSAS,2017,30,,-,0,,4,,21,,44,,,-,0,,1,,,-,4,,,-,0,,0,,,-,1,,"KANSAS
(38.345528, -98.201847)",
MAINE,2017,30,,-,0,,1,,4,,1,,20,,5,,32,,291,,193,,1,,0,,1,,2,,2,,"MAINE
(45.252223, -68.986647)",
AMER. SAMOA,2017,30,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
C.N.M.I.,2017,30,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW YORK,2017,30,2,,2,,64,,45,,36,,69,,11,,73,,650,,359,,4,,0,,3,,13,,11,,"NEW YORK
(42.826892, -75.544286)",
LOUISIANA,2017,30,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEW YORK CITY,2017,30,,-,0,,4,,10,,4,,14,,0,,4,,38,,30,,,-,0,,1,,3,,,-,,
SOUTH CAROLINA,2017,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEBRASKA,2017,30,,-,0,,2,,,-,2,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NORTH CAROLINA,2017,30,,-,0,,4,,26,,41,,,-,0,,2,,8,,11,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
KENTUCKY,2017,30,1,,1,,8,,50,,32,,1,,0,,1,,2,,,-,1,,0,,2,,3,,1,,"KENTUCKY
(37.64591, -84.774043)",
MINNESOTA,2017,30,,-,0,,1,,,-,4,,,-,0,,31,,,-,525,,,-,0,,2,,,-,26,,"MINNESOTA
(46.357661, -94.793397)",
TEXAS,2017,30,,-,0,,2,,10,,7,,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
DELAWARE,2017,30,,-,0,,3,,10,,10,,,-,0,,2,,4,,4,,,-,0,,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
VIRGIN ISL.,2017,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
TENNESSEE,2017,30,1,,0,,10,,40,,53,,,-,0,,3,,9,,5,,,-,0,,2,,2,,2,,"TENNESSEE
(35.681402, -85.774444)",
WISCONSIN,2017,30,,-,0,,4,,20,,16,,2,,7,,49,,369,,416,,1,,0,,5,,24,,30,,"WISCONSIN
(44.395526, -89.834513)",
MONTANA,2017,30,,-,0,,0,,,-,1,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
UNITED STATES,2017,30,15,,16,,139,,652,,797,,111,,59,,212,,2105,,2529,,7,,3,,10,,82,,122,,,
ALASKA,2017,30,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
ALABAMA,2017,30,,-,0,,1,,5,,6,,,-,0,,1,,3,,3,,,-,0,,0,,,-,3,,"ALABAMA
(32.839182, -86.631125)",
CALIFORNIA,2017,30,,-,0,,0,,,-,,-,,-,0,,1,,,-,4,,,-,0,,4,,4,,1,,"CALIFORNIA
(37.640735, -121.002435)",
WASHINGTON,2017,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MICHIGAN,2017,30,,-,0,,2,,1,,6,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
DIST. OF COL.,2017,30,,-,0,,0,,,-,4,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
S. ATLANTIC,2017,30,3,,2,,13,,94,,170,,1,,1,,4,,28,,33,,,-,0,,1,,3,,7,,,
INDIANA,2017,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,14,,14,,"INDIANA
(39.76845, -86.156212)",
UTAH,2017,30,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
HAWAII,2017,30,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
MASSACHUSETTS,2017,30,,-,0,,1,,3,,8,,,-,8,,58,,445,,567,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSOURI,2017,30,5,,3,,22,,174,,148,,,-,0,,3,,11,,4,,,-,0,,2,,4,,5,,"MISSOURI
(38.636168, -92.566292)",
C.N.M.I.,2017,31,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
CONNECTICUT,2017,31,,-,0,,0,,,-,1,,,-,0,,8,,,-,48,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
NEVADA,2017,31,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW JERSEY,2017,31,,-,1,,6,,37,,57,,,-,2,,9,,73,,75,,,-,0,,2,,3,,4,,"NEW JERSEY
(40.104655, -74.386686)",
WYOMING,2017,31,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MARYLAND,2017,31,,-,0,,4,,17,,31,,,-,0,,1,,4,,5,,,-,0,,1,,1,,1,,"MARYLAND
(39.290443, -76.612333)",
CALIFORNIA,2017,31,,-,0,,0,,,-,,-,,-,0,,1,,,-,5,,,-,0,,4,,5,,1,,"CALIFORNIA
(37.640735, -121.002435)",
IOWA,2017,31,,-,0,,2,,5,,2,,,-,0,,1,,3,,3,,,-,0,,1,,1,,2,,"IOWA
(42.46942, -93.815856)",
WASHINGTON,2017,31,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MID. ATLANTIC,2017,31,6,,3,,65,,100,,102,,55,,13,,84,,819,,532,,1,,0,,4,,19,,23,,,
IDAHO,2017,31,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
ALASKA,2017,31,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
VIRGINIA,2017,31,5,,0,,8,,39,,53,,,-,0,,2,,9,,8,,,-,0,,1,,1,,3,,"VIRGINIA
(37.542699, -78.45822)",
COLORADO,2017,31,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
DIST. OF COL.,2017,31,,-,0,,0,,,-,4,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
PUERTO RICO,2017,31,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
TEXAS,2017,31,,-,0,,2,,10,,7,,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
AMER. SAMOA,2017,31,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
MICHIGAN,2017,31,,-,0,,2,,1,,6,,,-,0,,1,,1,,5,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
MINNESOTA,2017,31,,-,0,,1,,,-,4,,,-,0,,31,,,-,548,,,-,0,,2,,,-,27,,"MINNESOTA
(46.357661, -94.793397)",
DELAWARE,2017,31,,-,0,,3,,11,,11,,,-,0,,2,,4,,4,,,-,0,,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
PACIFIC,2017,31,,-,0,,1,,,-,1,,,-,0,,2,,,-,5,,,-,0,,4,,5,,1,,,
S. ATLANTIC,2017,31,5,,2,,13,,109,,177,,,-,1,,4,,30,,34,,,-,0,,1,,3,,7,,,
MONTANA,2017,31,,-,0,,0,,,-,1,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
ARIZONA,2017,31,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,3,,2,,"ARIZONA
(34.869712, -111.760902)",
LOUISIANA,2017,31,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
ARKANSAS,2017,31,4,,3,,13,,115,,130,,,-,0,,1,,3,,7,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEW MEXICO,2017,31,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
GEORGIA,2017,31,,-,0,,1,,1,,12,,,-,0,,0,,,-,,-,,-,0,,1,,1,,2,,"GEORGIA
(32.836038, -83.631709)",
WISCONSIN,2017,31,,-,0,,4,,21,,19,,,-,7,,50,,407,,428,,,-,0,,5,,26,,32,,"WISCONSIN
(44.395526, -89.834513)",
NEW HAMPSHIRE,2017,31,,-,0,,1,,1,,6,,,-,0,,1,,3,,52,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
E.S. CENTRAL,2017,31,6,,2,,12,,112,,104,,,-,0,,4,,15,,9,,,-,0,,2,,6,,6,,,
MOUNTAIN,2017,31,,-,0,,0,,,-,1,,,-,0,,1,,2,,,-,,-,0,,1,,3,,2,,,
TENNESSEE,2017,31,1,,1,,10,,46,,60,,,-,0,,4,,10,,5,,,-,0,,2,,2,,2,,"TENNESSEE
(35.681402, -85.774444)",
ALABAMA,2017,31,,-,0,,1,,6,,6,,,-,0,,1,,3,,3,,,-,0,,0,,,-,3,,"ALABAMA
(32.839182, -86.631125)",
NEBRASKA,2017,31,,-,0,,2,,,-,3,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
UTAH,2017,31,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
VERMONT,2017,31,,-,0,,1,,5,,2,,5,,3,,26,,157,,106,,,-,0,,1,,4,,1,,"VERMONT
(43.622479, -72.51927)",
NORTH DAKOTA,2017,31,,-,0,,1,,,-,1,,,-,0,,2,,7,,9,,,-,0,,0,,,-,3,,"NORTH DAKOTA
(47.475879, -100.121011)",
KANSAS,2017,31,,-,0,,4,,21,,45,,,-,0,,0,,,-,4,,,-,0,,0,,,-,1,,"KANSAS
(38.345528, -98.201847)",
NORTH CAROLINA,2017,31,,-,0,,4,,30,,43,,,-,0,,2,,8,,11,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW ENGLAND,2017,31,,-,1,,7,,18,,45,,21,,30,,119,,1019,,1092,,,-,0,,2,,6,,3,,,
WEST VIRGINIA,2017,31,,-,0,,1,,1,,5,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
HAWAII,2017,31,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
NEW YORK,2017,31,4,,2,,64,,51,,37,,48,,11,,73,,700,,392,,1,,0,,4,,14,,11,,"NEW YORK
(42.826892, -75.544286)",
KENTUCKY,2017,31,5,,1,,8,,55,,32,,,-,0,,1,,2,,1,,,-,0,,2,,3,,1,,"KENTUCKY
(37.64591, -84.774043)",
MISSOURI,2017,31,4,,3,,24,,194,,162,,,-,0,,3,,12,,5,,,-,0,,2,,5,,6,,"MISSOURI
(38.636168, -92.566292)",
ILLINOIS,2017,31,,-,0,,2,,6,,28,,,-,0,,1,,1,,7,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
UNITED STATES,2017,31,26,,16,,139,,726,,845,,76,,60,,227,,2325,,2693,,1,,3,,10,,89,,127,,,
FLORIDA,2017,31,,-,0,,2,,10,,18,,,-,0,,2,,5,,4,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
SOUTH DAKOTA,2017,31,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
SOUTH CAROLINA,2017,31,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,"SOUTH CAROLINA
(34.009286, -81.037094)",
OHIO,2017,31,,-,0,,2,,10,,6,,,-,0,,2,,4,,3,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
MASSACHUSETTS,2017,31,,-,0,,1,,4,,8,,,-,8,,69,,522,,585,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
W.S. CENTRAL,2017,31,5,,3,,67,,129,,139,,,-,0,,3,,4,,7,,,-,0,,1,,,-,,-,,
GUAM,2017,31,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(13.3532, 144.653198)",
VIRGIN ISL.,2017,31,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MISSISSIPPI,2017,31,,-,0,,2,,5,,6,,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEW YORK CITY,2017,31,2,,0,,4,,12,,5,,7,,0,,14,,45,,32,,,-,0,,1,,2,,,-,,
E.N. CENTRAL,2017,31,,-,1,,6,,38,,59,,,-,8,,50,,413,,443,,,-,1,,6,,41,,46,,,
RHODE ISLAND,2017,31,,-,0,,6,,4,,26,,,-,1,,18,,24,,92,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
PENNSYLVANIA,2017,31,,-,0,,1,,,-,3,,,-,0,,4,,1,,33,,,-,0,,2,,,-,8,,"PENNSYLVANIA
(40.789676, -77.858055)",
OREGON,2017,31,,-,0,,1,,,-,1,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
MAINE,2017,31,,-,0,,1,,4,,2,,16,,5,,32,,313,,209,,,-,0,,1,,2,,2,,"MAINE
(45.252223, -68.986647)",
INDIANA,2017,31,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,4,,15,,14,,"INDIANA
(39.76845, -86.156212)",
OKLAHOMA,2017,31,1,,0,,60,,4,,1,,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
VERMONT,2017,32,,-,0,,1,,5,,2,,3,,3,,23,,166,,115,,,-,0,,1,,4,,1,,"VERMONT
(43.622479, -72.51927)",
TEXAS,2017,32,,-,0,,2,,10,,7,,,-,0,,1,,1,,1,,,-,0,,1,,,-,1,,"TEXAS
(31.827233, -99.423022)",
COLORADO,2017,32,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
ILLINOIS,2017,32,,-,0,,2,,6,,28,,,-,0,,1,,1,,8,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
PUERTO RICO,2017,32,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
E.N. CENTRAL,2017,32,,-,1,,6,,40,,59,,,-,8,,50,,423,,456,,,-,1,,6,,42,,47,,,
OHIO,2017,32,,-,0,,2,,11,,6,,,-,0,,2,,4,,4,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
MARYLAND,2017,32,,-,0,,4,,17,,33,,,-,0,,1,,4,,5,,,-,0,,1,,1,,1,,"MARYLAND
(39.290443, -76.612333)",
NEVADA,2017,32,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
