 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2018","Giardiasis, Cum 2018, flag","Giardiasis, Cum 2017","Giardiasis, Cum 2017, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2018","Gonorrhea, Cum 2018, flag","Gonorrhea, Cum 2017","Gonorrhea, Cum 2017, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), Current week","Haemophilus influenzae, invasive disease (all ages, all serotypes), Current week, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), Previous 52 weeks Med","Haemophilus influenzae, invasive disease (all ages, all serotypes), Previous 52 weeks Med, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), Previous 52 weeks Max","Haemophilus influenzae, invasive disease (all ages, all serotypes), Previous 52 weeks Max, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), all serotypes, Cum 2018","Haemophilus influenzae, invasive disease (all ages, all serotypes), Cum 2018, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), Cum 2017","Haemophilus influenzae, invasive disease (all ages, all serotypes), Cum 2017, flag",Location 1,Location 2
AMER. SAMOA,2018,40,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NEW HAMPSHIRE,2018,40,,-,2,,9,,79,,89,,3,,11,,24,,448,,411,,,-,0,,3,,19,,17,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
CONNECTICUT,2018,40,,-,3,,11,,145,,177,,,-,0,,156,,,U,2903,,,-,1,,6,,29,,55,,"CONNECTICUT
(41.544654, -72.651713)",
OKLAHOMA,2018,40,,N,0,,0,,,N,,N,13,,132,,232,,5006,,6985,,,-,2,,19,,77,,86,,"OKLAHOMA
(35.468494, -97.521264)",
ARKANSAS,2018,40,6,,2,,12,,106,,105,,,-,98,,350,,2212,,4108,,,-,1,,11,,44,,41,,"ARKANSAS
(34.748745, -92.275105)",
MASSACHUSETTS,2018,40,5,,11,,18,,436,,437,,,-,164,,202,,6134,,5680,,,-,2,,8,,86,,100,,"MASSACHUSETTS
(42.268546, -72.085064)",
MONTANA,2018,40,,-,1,,6,,62,,100,,14,,22,,36,,881,,573,,,-,0,,2,,13,,18,,"MONTANA
(47.062617, -109.430168)",
OHIO,2018,40,9,,7,,29,,386,,315,,295,,463,,545,,18162,,18445,,9,,5,,13,,199,,168,,"OHIO
(40.056807, -82.405897)",
NORTH CAROLINA,2018,40,,-,0,,0,,,-,,-,,-,435,,511,,15686,,17583,,,-,4,,12,,140,,141,,"NORTH CAROLINA
(35.47995, -79.180571)",
E.N. CENTRAL,2018,40,16,,30,,74,,1279,,1498,,552,,1468,,1898,,56505,,63193,,9,,17,,36,,616,,688,,,
NEW MEXICO,2018,40,,-,1,,5,,39,,74,,21,,95,,168,,3727,,3283,,,-,1,,4,,42,,37,,"NEW MEXICO
(34.520396, -106.244402)",
WISCONSIN,2018,40,7,,10,,30,,474,,554,,123,,151,,210,,5706,,5637,,,-,0,,5,,15,,83,,"WISCONSIN
(44.395526, -89.834513)",
NORTH DAKOTA,2018,40,,-,1,,5,,40,,24,,6,,20,,33,,859,,731,,,-,0,,2,,12,,12,,"NORTH DAKOTA
(47.475879, -100.121011)",
MISSOURI,2018,40,3,,4,,16,,192,,201,,259,,283,,375,,11562,,9938,,1,,3,,10,,125,,104,,"MISSOURI
(38.636168, -92.566292)",
MARYLAND,2018,40,2,,3,,8,,111,,135,,10,,188,,340,,6863,,7910,,2,,2,,9,,109,,98,,"MARYLAND
(39.290443, -76.612333)",
COLORADO,2018,40,13,,10,,23,,416,,408,,208,,176,,270,,6857,,6335,,1,,2,,5,,77,,65,,"COLORADO
(38.841772, -106.132562)",
CALIFORNIA,2018,40,8,,47,,69,,1788,,2014,,117,,1516,,1698,,58351,,57097,,,-,1,,4,,30,,43,,"CALIFORNIA
(37.640735, -121.002435)",
UTAH,2018,40,2,,3,,11,,173,,173,,43,,54,,79,,2193,,1966,,2,,1,,4,,40,,50,,"UTAH
(39.359772, -111.584173)",
MINNESOTA,2018,40,,-,0,,20,,,-,507,,16,,140,,187,,5565,,4862,,,-,0,,7,,8,,90,,"MINNESOTA
(46.357661, -94.793397)",
ILLINOIS,2018,40,,N,0,,0,,,N,,N,,-,371,,549,,12465,,18092,,,-,4,,11,,167,,175,,"ILLINOIS
(40.477092, -88.993221)",
INDIANA,2018,40,,-,3,,10,,137,,151,,60,,234,,302,,8913,,8936,,,-,4,,9,,120,,106,,"INDIANA
(39.76845, -86.156212)",
MISSISSIPPI,2018,40,,N,0,,0,,,N,,N,183,,180,,309,,5758,,6442,,1,,2,,5,,61,,43,,"MISSISSIPPI
(32.738663, -89.537312)",
W.N. CENTRAL,2018,40,3,,18,,37,,626,,1228,,354,,697,,839,,28256,,24732,,1,,5,,14,,194,,305,,,
MICHIGAN,2018,40,,-,7,,19,,282,,478,,74,,288,,395,,11259,,12083,,,-,3,,8,,115,,156,,"MICHIGAN
(44.66399, -84.711206)",
KENTUCKY,2018,40,,N,0,,0,,,N,,N,,-,118,,200,,3396,,5598,,,-,2,,8,,78,,58,,"KENTUCKY
(37.64591, -84.774043)",
C.N.M.I.,2018,40,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WEST VIRGINIA,2018,40,,-,1,,5,,26,,75,,19,,21,,42,,832,,1021,,,-,1,,8,,44,,32,,"WEST VIRGINIA
(38.668501, -80.709421)",
OREGON,2018,40,2,,6,,14,,255,,268,,106,,112,,149,,4462,,3674,,1,,2,,7,,70,,88,,"OREGON
(44.567912, -120.156945)",
UNITED STATES,2018,40,124,,259,,931,,10097,,11373,,3769,,10361,,12718,,397656,,418862,,35,,104,,301,,3812,,4017,,,
NEW YORK CITY,2018,40,27,,20,,32,,811,,743,,266,,475,,689,,19582,,18065,,,-,3,,8,,117,,91,,,
VIRGIN ISL.,2018,40,,-,0,,0,,,-,,-,,-,0,,4,,18,,8,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
PENNSYLVANIA,2018,40,17,,11,,27,,495,,435,,250,,297,,342,,11618,,11748,,4,,5,,14,,193,,233,,"PENNSYLVANIA
(40.789676, -77.858055)",
VIRGINIA,2018,40,1,,5,,31,,223,,191,,177,,215,,430,,8761,,9713,,,-,3,,21,,96,,112,,"VIRGINIA
(37.542699, -78.45822)",
KANSAS,2018,40,,-,2,,5,,74,,84,,48,,99,,131,,4009,,3500,,,-,0,,4,,14,,46,,"KANSAS
(38.345528, -98.201847)",
NEBRASKA,2018,40,,-,2,,6,,89,,103,,25,,47,,106,,2100,,2065,,,-,0,,3,,22,,35,,"NEBRASKA
(41.640503, -99.367122)",
SOUTH CAROLINA,2018,40,,-,4,,9,,159,,115,,271,,244,,947,,9970,,9457,,,-,2,,6,,81,,145,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MID. ATLANTIC,2018,40,58,,53,,85,,2093,,2125,,799,,1145,,1447,,45879,,44838,,8,,16,,38,,603,,639,,,
NEW YORK,2018,40,14,,16,,34,,654,,636,,232,,213,,452,,8264,,7785,,4,,5,,24,,173,,203,,"NEW YORK
(42.826892, -75.544286)",
NEW JERSEY,2018,40,,-,4,,11,,133,,311,,51,,167,,251,,6415,,7240,,,-,3,,8,,120,,112,,"NEW JERSEY
(40.104655, -74.386686)",
DIST. OF COL.,2018,40,,-,1,,8,,56,,42,,,-,54,,147,,1417,,3446,,,-,0,,3,,14,,13,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
DELAWARE,2018,40,,-,0,,2,,1,,20,,,-,29,,76,,947,,1339,,,-,0,,2,,13,,19,,"DELAWARE
(39.008676, -75.574561)",
IDAHO,2018,41,3,,2,,8,,98,,131,,14,,20,,44,,778,,725,,,-,0,,2,,15,,19,,"IDAHO
(43.680635, -114.364237)",
E.N. CENTRAL,2018,41,26,,30,,75,,1356,,1539,,598,,1513,,1898,,59693,,64886,,6,,16,,36,,628,,703,,,
NEVADA,2018,41,,-,0,,3,,18,,39,,,-,114,,149,,4237,,4253,,,-,0,,2,,8,,34,,"NEVADA
(39.491833, -117.070159)",
KANSAS,2018,41,,-,2,,5,,74,,88,,42,,99,,131,,4098,,3579,,,-,0,,2,,14,,46,,"KANSAS
(38.345528, -98.201847)",
KENTUCKY,2018,41,,N,0,,0,,,N,,N,,-,113,,200,,3396,,5782,,,-,2,,8,,78,,60,,"KENTUCKY
(37.64591, -84.774043)",
MISSISSIPPI,2018,41,,N,0,,0,,,N,,N,,-,183,,309,,5758,,6667,,,-,1,,5,,60,,46,,"MISSISSIPPI
(32.738663, -89.537312)",
NEBRASKA,2018,41,,-,2,,6,,89,,107,,32,,47,,106,,2144,,2103,,,-,0,,3,,22,,35,,"NEBRASKA
(41.640503, -99.367122)",
W.N. CENTRAL,2018,41,3,,17,,34,,637,,1257,,337,,700,,844,,29028,,25423,,2,,5,,14,,197,,311,,,
NEW YORK,2018,41,31,,15,,34,,685,,652,,297,,213,,452,,8559,,7998,,5,,5,,24,,178,,207,,"NEW YORK
(42.826892, -75.544286)",
UNITED STATES,2018,41,126,,259,,931,,10402,,11666,,5178,,10457,,12718,,414203,,430291,,38,,105,,301,,3893,,4115,,,
FLORIDA,2018,41,,-,18,,36,,787,,800,,321,,624,,850,,24866,,24709,,4,,6,,14,,261,,221,,"FLORIDA
(28.915325, -81.922409)",
COLORADO,2018,41,1,,10,,23,,417,,417,,191,,176,,270,,7048,,6509,,1,,2,,5,,78,,67,,"COLORADO
(38.841772, -106.132562)",
INDIANA,2018,41,,-,3,,10,,137,,154,,79,,235,,302,,9186,,9172,,,-,3,,9,,120,,111,,"INDIANA
(39.76845, -86.156212)",
MONTANA,2018,41,,-,1,,5,,62,,101,,17,,21,,36,,907,,590,,1,,0,,2,,14,,18,,"MONTANA
(47.062617, -109.430168)",
NORTH CAROLINA,2018,41,,-,0,,0,,,-,,-,,-,435,,502,,16252,,18034,,,-,4,,12,,142,,149,,"NORTH CAROLINA
(35.47995, -79.180571)",
OREGON,2018,41,1,,6,,14,,260,,277,,125,,111,,149,,4588,,3802,,2,,2,,7,,75,,89,,"OREGON
(44.567912, -120.156945)",
MAINE,2018,41,,-,2,,13,,115,,103,,,-,12,,24,,511,,480,,,-,1,,2,,17,,24,,"MAINE
(45.252223, -68.986647)",
NEW ENGLAND,2018,41,9,,20,,35,,838,,865,,3,,217,,385,,8059,,10598,,,-,5,,20,,199,,216,,,
E.S. CENTRAL,2018,41,2,,4,,12,,183,,146,,223,,764,,1054,,29238,,31176,,,-,7,,22,,316,,305,,,
ARIZONA,2018,41,3,,3,,8,,117,,115,,121,,252,,400,,9529,,9563,,1,,2,,7,,101,,107,,"ARIZONA
(34.869712, -111.760902)",
TEXAS,2018,41,,N,0,,0,,,N,,N,950,,937,,1573,,37938,,36507,,3,,8,,66,,327,,261,,"TEXAS
(31.827233, -99.423022)",
VIRGIN ISL.,2018,41,,-,0,,0,,,-,,-,,-,0,,4,,18,,8,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
OKLAHOMA,2018,41,,N,0,,0,,,N,,N,29,,132,,210,,5169,,7175,,5,,2,,19,,82,,88,,"OKLAHOMA
(35.468494, -97.521264)",
CONNECTICUT,2018,41,4,,3,,11,,151,,182,,,-,0,,156,,,U,2987,,,-,1,,6,,43,,55,,"CONNECTICUT
(41.544654, -72.651713)",
MASSACHUSETTS,2018,41,5,,11,,18,,447,,452,,,-,163,,202,,6134,,5850,,,-,2,,8,,86,,101,,"MASSACHUSETTS
(42.268546, -72.085064)",
GUAM,2018,41,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,4,,"GUAM
(13.3532, 144.653198)",
RHODE ISLAND,2018,41,,-,1,,5,,44,,35,,,-,25,,107,,915,,729,,,-,0,,7,,17,,11,,"RHODE ISLAND
(41.707447, -71.522488)",
PACIFIC,2018,41,11,,60,,718,,2501,,2459,,509,,1863,,2189,,73635,,72755,,2,,4,,10,,175,,172,,,
WEST VIRGINIA,2018,41,,-,1,,5,,26,,80,,28,,21,,42,,862,,1052,,,-,1,,8,,44,,32,,"WEST VIRGINIA
(38.668501, -80.709421)",
ARKANSAS,2018,41,1,,2,,12,,107,,109,,,-,82,,350,,2243,,4274,,2,,1,,11,,47,,44,,"ARKANSAS
(34.748745, -92.275105)",
S. ATLANTIC,2018,41,8,,44,,63,,1647,,1858,,1069,,2148,,2701,,83800,,94890,,5,,24,,58,,933,,966,,,
WASHINGTON,2018,41,,-,2,,669,,308,,,-,154,,170,,280,,6344,,7545,,,-,0,,7,,8,,,-,"WASHINGTON
(47.517368, -120.467672)",
MARYLAND,2018,41,1,,3,,8,,118,,136,,13,,188,,340,,7062,,8116,,1,,2,,9,,110,,100,,"MARYLAND
(39.290443, -76.612333)",
WYOMING,2018,41,,-,0,,4,,24,,37,,1,,5,,11,,199,,319,,,-,0,,1,,6,,5,,"WYOMING
(43.23558, -108.110518)",
DELAWARE,2018,41,,-,0,,2,,1,,20,,,-,29,,76,,947,,1375,,,-,0,,2,,13,,19,,"DELAWARE
(39.008676, -75.574561)",
NORTH DAKOTA,2018,41,,-,1,,5,,42,,26,,5,,20,,33,,891,,747,,1,,0,,2,,13,,12,,"NORTH DAKOTA
(47.475879, -100.121011)",
PUERTO RICO,2018,41,,-,0,,2,,,-,17,,2,,10,,18,,394,,503,,,-,0,,0,,,-,9,,"PUERTO RICO
(18.215692, -66.414655)",
MICHIGAN,2018,41,,-,8,,17,,322,,488,,137,,286,,401,,11610,,12400,,,-,3,,8,,118,,159,,"MICHIGAN
(44.66399, -84.711206)",
W.S. CENTRAL,2018,41,1,,4,,17,,125,,272,,1064,,1356,,1957,,54438,,57207,,10,,13,,96,,524,,443,,,
ILLINOIS,2018,41,,N,0,,0,,,N,,N,,-,419,,549,,14332,,18600,,,-,4,,11,,170,,175,,"ILLINOIS
(40.477092, -88.993221)",
LOUISIANA,2018,41,,-,0,,12,,18,,163,,85,,233,,329,,9088,,9251,,,-,1,,5,,68,,50,,"LOUISIANA
(31.2931, -92.463284)",
IOWA,2018,41,1,,4,,10,,179,,224,,,-,90,,109,,3461,,2774,,,-,0,,1,,,-,2,,"IOWA
(42.46942, -93.815856)",
UTAH,2018,41,2,,3,,11,,176,,178,,37,,54,,80,,2258,,2013,,2,,1,,4,,42,,54,,"UTAH
(39.359772, -111.584173)",
ALASKA,2018,41,1,,1,,6,,55,,82,,2,,40,,62,,1572,,1715,,,-,1,,2,,31,,17,,"ALASKA
(64.836661, -147.738891)",
MOUNTAIN,2018,41,9,,24,,47,,954,,1092,,419,,735,,982,,28768,,27343,,5,,8,,16,,306,,342,,,
CALIFORNIA,2018,41,9,,47,,69,,1850,,2056,,228,,1523,,1698,,60177,,58601,,,-,1,,4,,28,,43,,"CALIFORNIA
(37.640735, -121.002435)",
SOUTH CAROLINA,2018,41,,-,4,,9,,160,,121,,328,,244,,462,,10303,,9732,,,-,2,,6,,81,,145,,"SOUTH CAROLINA
(34.009286, -81.037094)",
PENNSYLVANIA,2018,41,7,,11,,27,,510,,446,,268,,297,,346,,11986,,12060,,3,,5,,14,,200,,244,,"PENNSYLVANIA
(40.789676, -77.858055)",
AMER. SAMOA,2018,41,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
SOUTH DAKOTA,2018,41,,-,1,,6,,57,,91,,,-,25,,44,,805,,981,,,-,0,,3,,13,,17,,"SOUTH DAKOTA
(44.35371, -100.373709)",
VERMONT,2018,41,,N,0,,0,,,N,,N,,-,1,,14,,45,,132,,,-,0,,2,,16,,8,,"VERMONT
(43.622479, -72.51927)",
OHIO,2018,41,20,,7,,29,,406,,331,,255,,465,,545,,18652,,18904,,6,,5,,13,,205,,173,,"OHIO
(40.056807, -82.405897)",
HAWAII,2018,41,,-,1,,4,,28,,44,,,-,19,,67,,954,,1092,,,-,1,,4,,33,,23,,"HAWAII
(21.30992, -157.858158)",
MINNESOTA,2018,41,,-,0,,20,,,-,516,,15,,141,,188,,5737,,5000,,,-,0,,7,,8,,94,,"MINNESOTA
(46.357661, -94.793397)",
WISCONSIN,2018,41,6,,10,,30,,491,,566,,127,,152,,208,,5913,,5810,,,-,0,,5,,15,,85,,"WISCONSIN
(44.395526, -89.834513)",
C.N.M.I.,2018,41,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW JERSEY,2018,41,,-,4,,11,,133,,318,,66,,170,,251,,6779,,7422,,,-,3,,8,,120,,115,,"NEW JERSEY
(40.104655, -74.386686)",
MISSOURI,2018,41,2,,4,,16,,196,,205,,243,,286,,391,,11892,,10239,,1,,3,,10,,127,,105,,"MISSOURI
(38.636168, -92.566292)",
NEW HAMPSHIRE,2018,41,,-,2,,9,,81,,93,,3,,11,,24,,454,,420,,,-,0,,3,,20,,17,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VIRGINIA,2018,41,7,,5,,31,,232,,194,,208,,215,,430,,8968,,9989,,,-,3,,21,,96,,115,,"VIRGINIA
(37.542699, -78.45822)",
NEW MEXICO,2018,41,,-,1,,5,,42,,74,,38,,95,,168,,3812,,3371,,,-,1,,4,,42,,38,,"NEW MEXICO
(34.520396, -106.244402)",
MID. ATLANTIC,2018,41,57,,53,,85,,2161,,2178,,956,,1152,,1473,,47544,,46013,,8,,16,,38,,615,,657,,,
ALABAMA,2018,41,2,,4,,12,,183,,146,,138,,241,,386,,9526,,8915,,,-,2,,7,,72,,71,,"ALABAMA
(32.839182, -86.631125)",
GEORGIA,2018,41,,-,8,,34,,263,,464,,171,,347,,478,,13123,,18290,,,-,4,,14,,171,,172,,"GEORGIA
(32.836038, -83.631709)",
DIST. OF COL.,2018,41,,-,1,,10,,60,,43,,,-,52,,147,,1417,,3593,,,-,0,,3,,15,,13,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
TENNESSEE,2018,41,,N,0,,0,,,N,,N,85,,271,,322,,10558,,9812,,,-,3,,11,,106,,128,,"TENNESSEE
(35.681402, -85.774444)",
NEW YORK CITY,2018,41,19,,20,,32,,833,,762,,325,,478,,690,,20220,,18533,,,-,3,,8,,117,,91,,,
PUERTO RICO,2018,42,,-,0,,2,,,-,18,,4,,10,,18,,401,,508,,,-,0,,0,,,-,9,,"PUERTO RICO
(18.215692, -66.414655)",
E.S. CENTRAL,2018,42,1,,4,,12,,187,,148,,293,,749,,1054,,29542,,32230,,,-,7,,22,,320,,310,,,
MOUNTAIN,2018,42,12,,23,,47,,979,,1116,,370,,740,,982,,29781,,28199,,2,,7,,16,,309,,349,,,
CALIFORNIA,2018,42,17,,47,,69,,1910,,2104,,205,,1538,,1698,,62114,,60141,,,-,1,,4,,28,,44,,"CALIFORNIA
(37.640735, -121.002435)",
ALASKA,2018,42,,-,1,,6,,57,,85,,,-,40,,62,,1572,,1752,,,-,1,,2,,31,,17,,"ALASKA
(64.836661, -147.738891)",
TENNESSEE,2018,42,,N,0,,0,,,N,,N,132,,271,,322,,10690,,10071,,,-,3,,11,,106,,131,,"TENNESSEE
(35.681402, -85.774444)",
TEXAS,2018,42,,N,0,,0,,,N,,N,796,,950,,1571,,38847,,37476,,,-,7,,66,,327,,270,,"TEXAS
(31.827233, -99.423022)",
HAWAII,2018,42,,-,1,,4,,28,,44,,,-,18,,67,,954,,1120,,,-,1,,4,,33,,23,,"HAWAII
(21.30992, -157.858158)",
IDAHO,2018,42,2,,2,,8,,100,,136,,17,,20,,44,,796,,758,,,-,0,,2,,15,,20,,"IDAHO
(43.680635, -114.364237)",
VIRGIN ISL.,2018,42,,-,0,,0,,,-,,-,,-,0,,4,,18,,8,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
SOUTH DAKOTA,2018,42,,-,1,,6,,57,,92,,,-,25,,44,,805,,1009,,,-,0,,3,,13,,17,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MISSOURI,2018,42,4,,4,,16,,206,,208,,280,,286,,392,,12250,,10479,,,-,3,,10,,128,,110,,"MISSOURI
(38.636168, -92.566292)",
OHIO,2018,42,4,,7,,29,,410,,337,,274,,465,,545,,19203,,19404,,8,,5,,13,,213,,176,,"OHIO
(40.056807, -82.405897)",
GEORGIA,2018,42,,-,7,,34,,263,,476,,148,,347,,478,,13462,,18707,,1,,4,,14,,172,,178,,"GEORGIA
(32.836038, -83.631709)",
VIRGINIA,2018,42,,-,5,,31,,232,,197,,222,,214,,430,,9188,,10193,,,-,3,,21,,96,,119,,"VIRGINIA
(37.542699, -78.45822)",
W.N. CENTRAL,2018,42,4,,17,,34,,660,,1291,,415,,700,,849,,29913,,26122,,,-,5,,14,,202,,322,,,
SOUTH CAROLINA,2018,42,1,,4,,9,,161,,125,,,-,244,,462,,10303,,10043,,,-,2,,6,,81,,146,,"SOUTH CAROLINA
(34.009286, -81.037094)",
ARKANSAS,2018,42,2,,2,,12,,109,,113,,,-,125,,350,,3176,,4624,,,-,1,,11,,47,,44,,"ARKANSAS
(34.748745, -92.275105)",
OKLAHOMA,2018,42,,N,0,,0,,,N,,N,14,,132,,210,,5289,,7366,,2,,2,,19,,84,,90,,"OKLAHOMA
(35.468494, -97.521264)",
E.N. CENTRAL,2018,42,12,,30,,75,,1388,,1584,,464,,1513,,1898,,60868,,66594,,8,,17,,36,,644,,723,,,
MINNESOTA,2018,42,,-,0,,20,,,-,536,,13,,141,,188,,5880,,5121,,,-,0,,7,,12,,98,,"MINNESOTA
(46.357661, -94.793397)",
WASHINGTON,2018,42,,-,2,,669,,309,,,-,130,,167,,280,,6474,,7785,,,-,0,,7,,8,,,-,"WASHINGTON
(47.517368, -120.467672)",
NORTH DAKOTA,2018,42,,-,1,,5,,42,,27,,,-,20,,33,,891,,774,,,-,0,,2,,13,,12,,"NORTH DAKOTA
(47.475879, -100.121011)",
WISCONSIN,2018,42,7,,10,,30,,507,,584,,116,,153,,208,,6095,,5994,,,-,0,,5,,15,,90,,"WISCONSIN
(44.395526, -89.834513)",
UNITED STATES,2018,42,107,,257,,931,,10644,,11976,,4720,,10539,,12718,,425729,,442327,,27,,105,,301,,3953,,4223,,,
MICHIGAN,2018,42,1,,8,,17,,334,,504,,,-,286,,401,,11610,,12685,,,-,3,,8,,118,,164,,"MICHIGAN
(44.66399, -84.711206)",
VERMONT,2018,42,,N,0,,0,,,N,,N,,-,1,,14,,45,,137,,,-,0,,2,,16,,8,,"VERMONT
(43.622479, -72.51927)",
NEW YORK CITY,2018,42,17,,21,,32,,856,,790,,323,,482,,691,,20766,,19043,,3,,3,,8,,124,,97,,,
CONNECTICUT,2018,42,2,,4,,11,,156,,186,,,-,0,,156,,,U,3076,,,-,1,,6,,47,,56,,"CONNECTICUT
(41.544654, -72.651713)",
MAINE,2018,42,2,,2,,13,,118,,107,,,-,12,,24,,548,,496,,,-,0,,2,,17,,25,,"MAINE
(45.252223, -68.986647)",
C.N.M.I.,2018,42,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MISSISSIPPI,2018,42,,N,0,,0,,,N,,N,161,,180,,309,,5930,,6924,,,-,1,,5,,62,,47,,"MISSISSIPPI
(32.738663, -89.537312)",
WYOMING,2018,42,,-,0,,4,,24,,38,,1,,5,,11,,205,,326,,,-,0,,1,,6,,6,,"WYOMING
(43.23558, -108.110518)",
NEW MEXICO,2018,42,,-,1,,5,,42,,74,,32,,96,,168,,3910,,3454,,,-,1,,4,,42,,39,,"NEW MEXICO
(34.520396, -106.244402)",
AMER. SAMOA,2018,42,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
OREGON,2018,42,3,,6,,14,,264,,283,,126,,111,,149,,4714,,3909,,,-,2,,7,,74,,90,,"OREGON
(44.567912, -120.156945)",
MARYLAND,2018,42,,-,3,,8,,118,,139,,9,,188,,340,,7224,,8384,,,-,2,,9,,110,,104,,"MARYLAND
(39.290443, -76.612333)",
GUAM,2018,42,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,4,,"GUAM
(13.3532, 144.653198)",
NEW HAMPSHIRE,2018,42,1,,2,,9,,84,,98,,7,,11,,24,,464,,427,,,-,0,,3,,20,,17,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
DELAWARE,2018,42,,-,0,,2,,1,,22,,,-,28,,76,,947,,1404,,,-,0,,2,,13,,20,,"DELAWARE
(39.008676, -75.574561)",
NEW YORK,2018,42,20,,15,,34,,705,,677,,265,,215,,452,,8821,,8264,,3,,5,,24,,181,,213,,"NEW YORK
(42.826892, -75.544286)",
DIST. OF COL.,2018,42,,-,1,,10,,60,,44,,,-,49,,130,,1417,,3638,,,-,0,,3,,15,,13,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
S. ATLANTIC,2018,42,1,,43,,63,,1648,,1902,,788,,2143,,2701,,85741,,97276,,7,,24,,58,,944,,990,,,
NEBRASKA,2018,42,,-,2,,6,,89,,111,,23,,47,,106,,2173,,2186,,,-,0,,3,,22,,36,,"NEBRASKA
(41.640503, -99.367122)",
NEVADA,2018,42,,-,0,,2,,18,,40,,,-,116,,149,,4688,,4363,,,-,0,,2,,8,,34,,"NEVADA
(39.491833, -117.070159)",
ILLINOIS,2018,42,,N,0,,0,,,N,,N,,-,414,,549,,14571,,19064,,,-,4,,11,,178,,180,,"ILLINOIS
(40.477092, -88.993221)",
NEW JERSEY,2018,42,,-,4,,11,,133,,325,,68,,170,,251,,6937,,7609,,,-,3,,8,,120,,117,,"NEW JERSEY
(40.104655, -74.386686)",
MONTANA,2018,42,,-,1,,5,,62,,104,,17,,21,,36,,927,,618,,,-,0,,2,,14,,18,,"MONTANA
(47.062617, -109.430168)",
MID. ATLANTIC,2018,42,46,,53,,85,,2224,,2253,,901,,1152,,1475,,48814,,47261,,8,,16,,38,,631,,679,,,
INDIANA,2018,42,,-,3,,10,,137,,159,,74,,234,,302,,9389,,9447,,,-,3,,9,,120,,113,,"INDIANA
(39.76845, -86.156212)",
ARIZONA,2018,42,,-,3,,8,,119,,118,,145,,251,,400,,9779,,9909,,2,,2,,7,,104,,108,,"ARIZONA
(34.869712, -111.760902)",
PENNSYLVANIA,2018,42,9,,11,,27,,530,,461,,245,,297,,348,,12290,,12345,,2,,5,,14,,206,,252,,"PENNSYLVANIA
(40.789676, -77.858055)",
WEST VIRGINIA,2018,42,,-,0,,5,,26,,84,,14,,21,,42,,876,,1071,,,-,1,,8,,44,,34,,"WEST VIRGINIA
(38.668501, -80.709421)",
RHODE ISLAND,2018,42,,-,1,,5,,44,,35,,22,,25,,107,,958,,745,,,-,0,,7,,17,,11,,"RHODE ISLAND
(41.707447, -71.522488)",
ALABAMA,2018,42,1,,4,,12,,187,,148,,,-,241,,386,,9526,,9254,,,-,2,,7,,74,,72,,"ALABAMA
(32.839182, -86.631125)",
KANSAS,2018,42,,-,2,,5,,74,,90,,58,,99,,131,,4217,,3678,,,-,0,,2,,14,,47,,"KANSAS
(38.345528, -98.201847)",
