Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2019†","Cryptosporidiosis, Cum 2019†, flag","Cryptosporidiosis, Cum 2018†","Cryptosporidiosis, Cum 2018†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2019†","Cyclosporiasis, Cum 2019†, flag","Cyclosporiasis, Cum 2018†","Cyclosporiasis, Cum 2018†, flag",Location 1,Location 2
MISSISSIPPI,2019,7,,-,8,,2,,10,,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
UTAH,2019,7,,-,18,,7,,9,,,-,4,,,-,,-,"UTAH
(39.359772, -111.584173)",
NEBRASKA,2019,7,1,,9,,10,,12,,,-,5,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NORTHERN MARIANA ISLANDS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OREGON,2019,7,,-,13,,26,,51,,,-,2,,,-,,-,"OREGON
(44.567912, -120.156945)",
ALABAMA,2019,7,,-,8,,17,,19,,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
TOTAL,2019,7,38,,426,,683,,888,,1,,573,,5,,7,,,TOTAL
MICHIGAN,2019,7,,-,16,,25,,20,,,-,5,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NEW MEXICO,2019,7,,-,10,,3,,4,,,-,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
WASHINGTON,2019,7,,-,35,,12,,10,,,-,3,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
PACIFIC,2019,7,1,,45,,74,,109,,,-,26,,1,,,-,,PACIFIC
MINNESOTA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
FLORIDA,2019,7,,-,27,,,-,55,,,-,9,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
EAST NORTH CENTRAL,2019,7,15,,118,,147,,179,,,-,455,,1,,,-,,EAST NORTH CENTRAL
NEW JERSEY,2019,7,,-,12,,12,,6,,,-,8,,,-,1,,"NEW JERSEY
(40.104655, -74.386686)",
NON-US RESIDENTS,2019,7,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
NORTH DAKOTA,2019,7,,-,4,,,-,6,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.475879, -100.121011)",
WISCONSIN,2019,7,1,,48,,39,,54,,,-,132,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
PUERTO RICO,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEVADA,2019,7,,-,6,,3,,1,,,N,,NC,,N,,N,"NEVADA
(39.491833, -117.070159)",
WEST SOUTH CENTRAL,2019,7,7,,61,,52,,85,,,-,49,,,-,,-,,WEST SOUTH CENTRAL
NEW YORK CITY,2019,7,,-,12,,33,,14,,,-,11,,,-,2,,,NEW YORK CITY
ILLINOIS,2019,7,,-,21,,26,,17,,,-,397,,1,,,-,"ILLINOIS
(40.477092, -88.993221)",
PENNSYLVANIA,2019,7,2,,20,,46,,44,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
TEXAS,2019,7,6,,53,,34,,53,,,-,40,,,-,,-,"TEXAS
(31.827233, -99.423022)",
ARKANSAS,2019,7,1,,5,,7,,9,,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
US TERRITORIES,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
KANSAS,2019,7,,-,6,,7,,6,,,-,4,,,-,,-,"KANSAS
(38.345528, -98.201847)",
US RESIDENTS,2019,7,38,,426,,683,,888,,1,,573,,5,,7,,,US RESIDENTS
OHIO,2019,7,14,,36,,57,,65,,,-,23,,,-,,-,"OHIO
(40.056807, -82.405897)",
RHODE ISLAND,2019,7,,-,37,,4,,4,,,-,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
EAST SOUTH CENTRAL,2019,7,,-,20,,36,,67,,,-,3,,,-,,-,,EAST SOUTH CENTRAL
PENNSYLVANIA,2019,8,5,,20,,53,,50,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
MASSACHUSETTS,2019,8,,-,18,,19,,26,,,-,6,,,-,1,,"MASSACHUSETTS
(42.268546, -72.085064)",
NORTHERN MARIANA ISLANDS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEVADA,2019,8,,-,6,,3,,1,,,N,,NC,,N,,N,"NEVADA
(39.491833, -117.070159)",
NORTH CAROLINA,2019,8,,-,12,,11,,28,,,-,6,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
WEST NORTH CENTRAL,2019,8,7,,68,,100,,120,,,-,87,,1,,1,,,WEST NORTH CENTRAL
AMERICAN SAMOA,2019,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
NEW ENGLAND,2019,8,,-,48,,47,,52,,,-,10,,,-,1,,,NEW ENGLAND
MISSISSIPPI,2019,8,,-,8,,2,,11,,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
CALIFORNIA,2019,8,1,,26,,43,,56,,,-,23,,1,,,-,"CALIFORNIA
(37.640735, -121.002435)",
CONNECTICUT,2019,8,,-,8,,10,,8,,,-,6,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
NEW MEXICO,2019,8,,-,10,,3,,4,,,-,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ARIZONA,2019,8,1,,12,,17,,14,,,-,2,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
OKLAHOMA,2019,8,2,,10,,13,,4,,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
IDAHO,2019,8,2,,7,,11,,11,,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
TENNESSEE,2019,8,,-,10,,12,,31,,,-,3,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
INDIANA,2019,8,,-,20,,,-,26,,,-,21,,,-,,-,"INDIANA
(39.76845, -86.156212)",
PACIFIC,2019,8,3,,45,,88,,126,,,-,26,,1,,,-,,PACIFIC
PUERTO RICO,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW JERSEY,2019,8,,-,12,,12,,9,,,-,8,,,-,1,,"NEW JERSEY
(40.104655, -74.386686)",
NEW YORK,2019,8,2,,20,,27,,12,,,-,9,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NEW YORK CITY,2019,8,1,,12,,39,,15,,,-,11,,,-,2,,,NEW YORK CITY
IOWA,2019,8,,-,40,,41,,52,,,-,75,,,-,1,,"IOWA
(42.46942, -93.815856)",
OHIO,2019,8,10,,36,,67,,75,,,-,23,,,-,,-,"OHIO
(40.056807, -82.405897)",
COLORADO,2019,8,,-,11,,8,,22,,,-,6,,,-,1,,"COLORADO
(38.841772, -106.132562)",
KANSAS,2019,8,,-,6,,7,,7,,,-,4,,,-,,-,"KANSAS
(38.345528, -98.201847)",
FLORIDA,2019,8,,-,27,,,-,66,,,-,9,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
WEST VIRGINIA,2019,8,,-,4,,5,,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
US RESIDENTS,2019,8,49,,426,,793,,1015,,,-,573,,5,,10,,,US RESIDENTS
TOTAL,2019,8,49,,426,,793,,1015,,,-,573,,5,,10,,,TOTAL
SOUTH CAROLINA,2019,8,2,,6,,17,,12,,,-,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEBRASKA,2019,8,4,,9,,15,,14,,,-,5,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
HAWAII,2019,8,,-,1,,1,,1,,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
GUAM,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
DELAWARE,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
US TERRITORIES,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
U.S. VIRGIN ISLANDS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MOUNTAIN,2019,8,4,,48,,52,,70,,,-,10,,,-,2,,,MOUNTAIN
WASHINGTON,2019,8,1,,35,,15,,10,,,-,3,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
SOUTH ATLANTIC,2019,8,6,,69,,96,,182,,,-,26,,2,,1,,,SOUTH ATLANTIC
NEW HAMPSHIRE,2019,8,,-,7,,11,,4,,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ILLINOIS,2019,8,,-,21,,32,,17,,,-,397,,1,,1,,"ILLINOIS
(40.477092, -88.993221)",
EAST SOUTH CENTRAL,2019,8,,-,20,,39,,73,,,-,3,,,-,,-,,EAST SOUTH CENTRAL
WYOMING,2019,8,,-,2,,,-,1,,,-,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
ALABAMA,2019,8,,-,8,,18,,21,,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
MARYLAND,2019,8,1,,7,,4,,6,,,-,7,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NON-US RESIDENTS,2019,8,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
VERMONT,2019,8,,-,10,,3,,4,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
LOUISIANA,2019,8,,-,4,,,-,24,,,-,2,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
TEXAS,2019,8,3,,53,,47,,62,,,-,40,,,-,1,,"TEXAS
(31.827233, -99.423022)",
MAINE,2019,8,,-,6,,,-,4,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
GEORGIA,2019,8,2,,21,,32,,29,,,-,7,,1,,,-,"GEORGIA
(32.836038, -83.631709)",
ALASKA,2019,8,,-,1,,,-,,-,,-,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NORTH DAKOTA,2019,8,,-,4,,,-,6,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.475879, -100.121011)",
MINNESOTA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MISSOURI,2019,8,2,,19,,26,,32,,,-,29,,1,,,-,"MISSOURI
(38.636168, -92.566292)",
MONTANA,2019,8,,-,5,,1,,7,,,-,3,,,-,,-,"MONTANA
(47.062617, -109.430168)",
WISCONSIN,2019,8,4,,48,,45,,61,,,-,133,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
ARKANSAS,2019,8,2,,5,,9,,10,,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
KENTUCKY,2019,8,,-,7,,7,,10,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
OREGON,2019,8,1,,13,,29,,59,,,-,2,,,-,,-,"OREGON
(44.567912, -120.156945)",
WEST SOUTH CENTRAL,2019,8,7,,61,,69,,100,,,-,49,,,-,1,,,WEST SOUTH CENTRAL
DISTRICT OF COLUMBIA,2019,8,,-,3,,,-,6,,,-,3,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
EAST NORTH CENTRAL,2019,8,14,,118,,171,,206,,,-,455,,1,,1,,,EAST NORTH CENTRAL
SOUTH DAKOTA,2019,8,1,,15,,11,,9,,,-,12,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
RHODE ISLAND,2019,8,,-,37,,4,,6,,,-,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
VIRGINIA,2019,8,1,,16,,27,,35,,,-,5,,1,,,-,"VIRGINIA
(37.542699, -78.45822)",
UTAH,2019,8,1,,17,,9,,10,,,-,4,,,-,,-,"UTAH
(39.359772, -111.584173)",
MIDDDLE ATLANTIC,2019,8,8,,51,,131,,86,,,-,23,,,-,3,,,MIDDDLE ATLANTIC
MICHIGAN,2019,8,,-,16,,27,,27,,,-,5,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
VIRGINIA,2019,9,5,,16,,33,,40,,,-,5,,1,,,-,"VIRGINIA
(37.542699, -78.45822)",
MOUNTAIN,2019,9,3,,48,,59,,83,,1,,10,,1,,3,,,MOUNTAIN
AMERICAN SAMOA,2019,9,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
WEST VIRGINIA,2019,9,,-,4,,6,,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
WEST SOUTH CENTRAL,2019,9,7,,61,,76,,112,,,-,49,,,-,2,,,WEST SOUTH CENTRAL
NORTHERN MARIANA ISLANDS,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MIDDLE ATLANTIC,2019,9,9,,51,,145,,102,,,-,23,,,-,4,,MIDDLE ATLANTIC,
OREGON,2019,9,1,,13,,32,,63,,,-,2,,,-,,-,"OREGON
(44.567912, -120.156945)",
US RESIDENTS,2019,9,52,,428,,924,,1188,,1,,573,,7,,14,,,US RESIDENTS
WEST NORTH CENTRAL,2019,9,2,,68,,111,,139,,,-,87,,1,,2,,,WEST NORTH CENTRAL
KENTUCKY,2019,9,,-,7,,7,,10,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
TEXAS,2019,9,4,,53,,51,,71,,,-,40,,,-,2,,"TEXAS
(31.827233, -99.423022)",
NEW ENGLAND,2019,9,1,,48,,51,,64,,,-,10,,,-,1,,,NEW ENGLAND
OKLAHOMA,2019,9,1,,10,,14,,7,,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
WISCONSIN,2019,9,5,,48,,53,,69,,,-,133,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
GUAM,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MINNESOTA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
PENNSYLVANIA,2019,9,5,,20,,61,,55,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
GEORGIA,2019,9,1,,23,,36,,35,,,-,8,,1,,,-,"GEORGIA
(32.836038, -83.631709)",
NEBRASKA,2019,9,,-,9,,16,,15,,,-,5,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEW YORK,2019,9,3,,20,,30,,17,,,-,9,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
ARIZONA,2019,9,1,,12,,19,,15,,1,,2,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
U.S. VIRGIN ISLANDS,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
KANSAS,2019,9,,-,6,,7,,8,,,-,4,,,-,,-,"KANSAS
(38.345528, -98.201847)",
RHODE ISLAND,2019,9,,-,37,,4,,6,,,-,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
TENNESSEE,2019,9,,-,10,,16,,36,,,-,3,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
TOTAL,2019,9,52,,428,,924,,1188,,1,,573,,7,,14,,,TOTAL
NEVADA,2019,9,,-,6,,3,,1,,,N,,NC,,N,,N,"NEVADA
(39.491833, -117.070159)",
HAWAII,2019,9,,-,1,,1,,1,,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
WYOMING,2019,9,,-,2,,,-,1,,,-,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
IDAHO,2019,9,,-,7,,12,,15,,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
MAINE,2019,9,,-,6,,,-,7,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
LOUISIANA,2019,9,,-,4,,,-,24,,,-,2,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
US TERRITORIES,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
IOWA,2019,9,,-,40,,46,,61,,,-,75,,,-,2,,"IOWA
(42.46942, -93.815856)",
EAST SOUTH CENTRAL,2019,9,1,,20,,51,,86,,,-,3,,,-,,-,,EAST SOUTH CENTRAL
WASHINGTON,2019,9,1,,35,,19,,11,,,-,3,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
ALABAMA,2019,9,1,,8,,26,,25,,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
DELAWARE,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
DISTRICT OF COLUMBIA,2019,9,,-,3,,1,,7,,,-,3,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEW HAMPSHIRE,2019,9,1,,7,,13,,8,,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH CAROLINA,2019,9,1,,6,,18,,17,,,-,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NON-US RESIDENTS,2019,9,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
NORTH DAKOTA,2019,9,,-,4,,1,,6,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH ATLANTIC,2019,9,8,,69,,123,,211,,,-,27,,3,,1,,,SOUTH ATLANTIC
CONNECTICUT,2019,9,,-,8,,11,,9,,,-,6,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
MONTANA,2019,9,,-,5,,2,,7,,,-,3,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEW JERSEY,2019,9,1,,12,,14,,13,,,-,8,,,-,2,,"NEW JERSEY
(40.104655, -74.386686)",
VERMONT,2019,9,,-,10,,3,,5,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MASSACHUSETTS,2019,9,,-,18,,20,,29,,,-,6,,,-,1,,"MASSACHUSETTS
(42.268546, -72.085064)",
EAST NORTH CENTRAL,2019,9,17,,118,,202,,242,,,-,455,,1,,1,,,EAST NORTH CENTRAL
NEW MEXICO,2019,9,,-,10,,3,,4,,,-,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
UTAH,2019,9,2,,17,,12,,15,,,-,4,,,-,1,,"UTAH
(39.359772, -111.584173)",
NORTH CAROLINA,2019,9,,-,12,,24,,31,,,-,6,,1,,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
INDIANA,2019,9,,-,20,,,-,28,,,-,21,,,-,,-,"INDIANA
(39.76845, -86.156212)",
PACIFIC,2019,9,4,,45,,106,,149,,,-,26,,1,,,-,,PACIFIC
MISSISSIPPI,2019,9,,-,8,,2,,15,,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
MICHIGAN,2019,9,1,,16,,35,,36,,,-,5,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
ILLINOIS,2019,9,,-,21,,36,,23,,,-,397,,1,,1,,"ILLINOIS
(40.477092, -88.993221)",
COLORADO,2019,9,,-,11,,8,,25,,,-,6,,,-,1,,"COLORADO
(38.841772, -106.132562)",
FLORIDA,2019,9,,-,27,,,-,75,,,-,9,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
CALIFORNIA,2019,9,2,,26,,54,,73,,,-,23,,1,,,-,"CALIFORNIA
(37.640735, -121.002435)",
PUERTO RICO,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
ARKANSAS,2019,9,2,,5,,11,,10,,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MISSOURI,2019,9,2,,19,,30,,39,,,-,29,,1,,,-,"MISSOURI
(38.636168, -92.566292)",
MARYLAND,2019,9,1,,7,,5,,6,,,-,7,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
OHIO,2019,9,11,,36,,78,,86,,,-,23,,,-,,-,"OHIO
(40.056807, -82.405897)",
NEW YORK CITY,2019,9,,-,12,,40,,17,,,-,11,,,-,2,,,NEW YORK CITY
ALASKA,2019,9,,-,1,,,-,1,,,-,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
SOUTH DAKOTA,2019,9,,-,15,,11,,10,,,-,12,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTH DAKOTA,2019,10,,-,4,,1,,6,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW JERSEY,2019,10,,-,12,,15,,13,,,-,8,,,-,2,,"NEW JERSEY
(40.104655, -74.386686)",
NEW YORK,2019,10,7,,20,,38,,22,,,-,9,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
WASHINGTON,2019,10,,-,35,,24,,11,,,-,3,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
LOUISIANA,2019,10,,-,4,,,-,26,,,-,2,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
FLORIDA,2019,10,,-,27,,,-,86,,,-,9,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
ARKANSAS,2019,10,9,,5,,20,,11,,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
IDAHO,2019,10,1,,7,,13,,16,,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
US TERRITORIES,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
TOTAL,2019,10,57,,430,,1049,,1320,,,-,573,,9,,15,,,TOTAL
MINNESOTA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
EAST SOUTH CENTRAL,2019,10,,-,20,,62,,92,,,-,3,,,-,,-,,EAST SOUTH CENTRAL
NEW MEXICO,2019,10,1,,10,,4,,6,,,-,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
PACIFIC,2019,10,4,,45,,130,,164,,,-,26,,1,,,-,,PACIFIC
PUERTO RICO,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
KENTUCKY,2019,10,,-,7,,11,,11,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
PENNSYLVANIA,2019,10,5,,20,,68,,63,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
SOUTH ATLANTIC,2019,10,5,,69,,130,,238,,,-,27,,3,,1,,,SOUTH ATLANTIC
NEW HAMPSHIRE,2019,10,,-,7,,15,,8,,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
GEORGIA,2019,10,2,,25,,39,,44,,,-,8,,1,,,-,"GEORGIA
(32.836038, -83.631709)",
NORTHERN MARIANA ISLANDS,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OKLAHOMA,2019,10,3,,10,,17,,9,,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
HAWAII,2019,10,,-,1,,1,,1,,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
OHIO,2019,10,7,,36,,85,,103,,,-,23,,,-,,-,"OHIO
(40.056807, -82.405897)",
MASSACHUSETTS,2019,10,5,,18,,27,,31,,,-,6,,,-,2,,"MASSACHUSETTS
(42.268546, -72.085064)",
NORTH CAROLINA,2019,10,,-,12,,24,,33,,,-,6,,1,,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NEBRASKA,2019,10,2,,9,,19,,16,,,-,5,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
SOUTH CAROLINA,2019,10,,-,6,,18,,20,,,-,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
OREGON,2019,10,4,,13,,40,,73,,,-,2,,,-,,-,"OREGON
(44.567912, -120.156945)",
DELAWARE,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WYOMING,2019,10,,-,2,,,-,1,,,-,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
MISSOURI,2019,10,2,,19,,35,,40,,,-,29,,1,,,-,"MISSOURI
(38.636168, -92.566292)",
MARYLAND,2019,10,1,,7,,6,,6,,,-,7,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
WISCONSIN,2019,10,3,,48,,61,,78,,,-,133,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MISSISSIPPI,2019,10,,-,8,,2,,15,,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
AMERICAN SAMOA,2019,10,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
MAINE,2019,10,,-,6,,,-,7,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
CALIFORNIA,2019,10,,-,26,,65,,78,,,-,23,,1,,,-,"CALIFORNIA
(37.640735, -121.002435)",
KANSAS,2019,10,,-,6,,10,,9,,,-,4,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MONTANA,2019,10,,-,5,,2,,7,,,-,3,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEW ENGLAND,2019,10,6,,48,,63,,67,,,-,10,,,-,2,,,NEW ENGLAND
COLORADO,2019,10,,-,11,,8,,27,,,-,6,,,-,1,,"COLORADO
(38.841772, -106.132562)",
WEST VIRGINIA,2019,10,,-,4,,6,,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
TENNESSEE,2019,10,,-,10,,19,,40,,,-,3,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NEVADA,2019,10,,-,6,,3,,1,,,N,,NC,,N,,N,"NEVADA
(39.491833, -117.070159)",
ILLINOIS,2019,10,,-,21,,36,,24,,,-,397,,1,,1,,"ILLINOIS
(40.477092, -88.993221)",
DISTRICT OF COLUMBIA,2019,10,,-,3,,1,,7,,,-,3,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
TEXAS,2019,10,,-,53,,51,,81,,,-,40,,,-,2,,"TEXAS
(31.827233, -99.423022)",
US RESIDENTS,2019,10,57,,430,,1049,,1320,,,-,573,,9,,15,,,US RESIDENTS
ARIZONA,2019,10,2,,28,,23,,18,,,-,2,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
IOWA,2019,10,,-,40,,47,,65,,,-,75,,,-,2,,"IOWA
(42.46942, -93.815856)",
WEST SOUTH CENTRAL,2019,10,12,,61,,88,,127,,,-,49,,,-,2,,,WEST SOUTH CENTRAL
WEST NORTH CENTRAL,2019,10,4,,68,,123,,148,,,-,87,,1,,2,,,WEST NORTH CENTRAL
EAST NORTH CENTRAL,2019,10,10,,119,,223,,275,,,-,455,,2,,1,,,EAST NORTH CENTRAL
RHODE ISLAND,2019,10,,-,37,,4,,6,,,-,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ALASKA,2019,10,,-,1,,,-,1,,,-,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
UTAH,2019,10,,-,17,,13,,15,,,-,4,,,-,1,,"UTAH
(39.359772, -111.584173)",
NON-US RESIDENTS,2019,10,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
MICHIGAN,2019,10,,-,16,,41,,38,,,-,5,,1,,,-,"MICHIGAN
(44.66399, -84.711206)",
