Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2019†","Cryptosporidiosis, Cum 2019†, flag","Cryptosporidiosis, Cum 2018†","Cryptosporidiosis, Cum 2018†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2019†","Cyclosporiasis, Cum 2019†, flag","Cyclosporiasis, Cum 2018†","Cyclosporiasis, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
SOUTH CAROLINA,2019,29,,-,8,,49,,61,,,-,3,,9,,3,,"SOUTH CAROLINA
(33.878572, -80.864614)",,20192935
VIRGINIA,2019,29,7,,17,,189,,170,,14,,9,,29,,11,,"VIRGINIA
(37.510861, -78.666382)",,20192936
WEST VIRGINIA,2019,29,,-,6,,9,,32,,,-,1,,,-,3,,"WEST VIRGINIA
(38.642579, -80.613729)",,20192937
EAST SOUTH CENTRAL,2019,29,2,,22,,262,,352,,,-,5,,2,,11,,,EAST SOUTH CENTRAL,20192938
ALABAMA,2019,29,2,,7,,96,,84,,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20192939
KENTUCKY,2019,29,,-,9,,38,,86,,,-,3,,,-,5,,"KENTUCKY
(37.526683, -85.290484)",,20192940
MISSISSIPPI,2019,29,,-,8,,33,,44,,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20192941
TENNESSEE,2019,29,,-,10,,95,,138,,,-,3,,2,,6,,"TENNESSEE
(35.842998, -86.343226)",,20192942
WEST SOUTH CENTRAL,2019,29,33,,75,,502,,469,,12,,49,,89,,137,,,WEST SOUTH CENTRAL,20192943
ARKANSAS,2019,29,9,,8,,73,,38,,1,,3,,8,,4,,"ARKANSAS
(34.899825, -92.439162)",,20192944
LOUISIANA,2019,29,,-,9,,70,,71,,,-,2,,2,,7,,"LOUISIANA
(30.921314, -91.840238)",,20192945
OKLAHOMA,2019,29,7,,23,,65,,58,,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20192946
TEXAS,2019,29,17,,55,,294,,302,,11,,40,,79,,126,,"TEXAS
(31.447238, -99.317341)",,20192947
MOUNTAIN,2019,29,12,,59,,394,,407,,10,,10,,64,,75,,,MOUNTAIN,20192948
ARIZONA,2019,29,2,,28,,67,,62,,2,,2,,7,,9,,"ARIZONA
(34.293239, -111.664616)",,20192949
COLORADO,2019,29,6,,11,,91,,100,,6,,7,,34,,40,,"COLORADO
(38.998552, -105.547832)",,20192950
IDAHO,2019,29,3,,7,,58,,53,,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20192951
MONTANA,2019,29,,-,4,,30,,53,,,-,1,,2,,6,,"MONTANA
(47.033521, -109.645127)",,20192952
NEVADA,2019,29,,-,4,,20,,17,,,N,,NC,,N,,N,"NEVADA
(39.283294, -114.916992)",,20192953
NEW MEXICO,2019,29,,-,10,,19,,38,,2,,5,,13,,1,,"NEW MEXICO
(34.421369, -106.108388)",,20192954
UTAH,2019,29,1,,18,,92,,76,,,-,4,,7,,16,,"UTAH
(39.323779, -111.678222)",,20192955
WYOMING,2019,29,,-,5,,17,,8,,,-,1,,1,,3,,"WYOMING
(42.999627, -107.55145)",,20192956
PACIFIC,2019,29,11,,214,,524,,534,,,-,23,,27,,147,,,PACIFIC,20192957
ALASKA,2019,29,,-,2,,5,,9,,,-,1,,,-,2,,"ALASKA
(63.631126, -151.631889)",,20192958
CALIFORNIA,2019,29,7,,25,,275,,321,,,-,10,,21,,144,,"CALIFORNIA
(37.211164, -119.662127)",,20192959
HAWAII,2019,29,,-,1,,3,,4,,,-,0,,,-,1,,"HAWAII
(21.361013, -157.854309)",,20192960
OREGON,2019,29,1,,14,,129,,200,,,-,2,,3,,,-,"OREGON
(43.940449, -120.605279)",,20192961
WASHINGTON,2019,29,3,,198,,112,,,-,,-,23,,3,,,-,"WASHINGTON
(47.411715, -120.592492)",,20192962
US TERRITORIES,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20192963
AMERICAN SAMOA,2019,29,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20192964
NORTHERN MARIANA ISLANDS,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20192965
GUAM,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20192966
PUERTO RICO,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20192967
U.S. VIRGIN ISLANDS,2019,29,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20192968
NON-US RESIDENTS,2019,29,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20192969
TOTAL,2019,29,152,,459,,4822,,5719,,262,,416,,1184,,2787,,,TOTAL,20192970
US RESIDENTS,2019,30,151,,459,,5172,,6080,,186,,358,,1648,,2988,,,US RESIDENTS,20193001
NEW ENGLAND,2019,30,5,,42,,227,,325,,7,,55,,235,,58,,,NEW ENGLAND,20193002
CONNECTICUT,2019,30,,-,8,,36,,34,,1,,16,,58,,23,,"CONNECTICUT
(41.575155, -72.738288)",,20193003
MAINE,2019,30,1,,6,,15,,20,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20193004
MASSACHUSETTS,2019,30,4,,13,,109,,134,,4,,39,,149,,26,,"MASSACHUSETTS
(42.151077, -71.481104)",,20193005
NEW HAMPSHIRE,2019,30,,-,7,,36,,37,,,-,2,,7,,6,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20193006
RHODE ISLAND,2019,30,,-,4,,15,,75,,2,,3,,15,,3,,"RHODE ISLAND
(41.572574, -71.534637)",,20193007
VERMONT,2019,30,,-,10,,16,,25,,,-,5,,6,,,-,"VERMONT
(44.075252, -72.662695)",,20193008
MIDDLE ATLANTIC,2019,30,23,,51,,651,,498,,77,,117,,410,,157,,,MIDDLE ATLANTIC,20193009
NEW JERSEY,2019,30,,-,12,,87,,68,,,-,21,,72,,51,,"NEW JERSEY
(40.110253, -74.655514)",,20193010
NEW YORK,2019,30,15,,20,,188,,104,,64,,77,,193,,43,,"NEW YORK
(42.921241, -75.59655)",,20193011
NEW YORK CITY,2019,30,1,,12,,147,,92,,13,,34,,145,,63,,,NEW YORK CITY,20193012
PENNSYLVANIA,2019,30,7,,20,,229,,234,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20193013
EAST NORTH CENTRAL,2019,30,39,,116,,930,,1334,,9,,83,,204,,1677,,,EAST NORTH CENTRAL,20193014
ILLINOIS,2019,30,,-,23,,162,,190,,,-,57,,54,,1211,,"ILLINOIS
(40.124144, -89.148632)",,20193015
INDIANA,2019,30,,-,12,,,-,178,,,-,4,,,-,74,,"INDIANA
(39.919991, -86.2818)",,20193016
MICHIGAN,2019,30,,-,16,,163,,178,,,-,10,,26,,20,,"MICHIGAN
(44.874798, -85.730977)",,20193017
OHIO,2019,30,32,,36,,312,,362,,5,,33,,77,,57,,"OHIO
(40.415534, -82.70936)",,20193018
WISCONSIN,2019,30,7,,48,,293,,426,,4,,15,,47,,315,,"WISCONSIN
(44.639954, -89.732969)",,20193019
WEST NORTH CENTRAL,2019,30,18,,77,,685,,1131,,14,,30,,120,,505,,,WEST NORTH CENTRAL,20193020
IOWA,2019,30,,-,28,,269,,415,,,-,22,,54,,205,,"IOWA
(42.074659, -93.500061)",,20193021
KANSAS,2019,30,,-,7,,52,,47,,,-,2,,8,,22,,"KANSAS
(38.484729, -98.38018)",,20193022
MINNESOTA,2019,30,,-,27,,,-,247,,,-,8,,,-,138,,"MINNESOTA
(46.349153, -94.198308)",,20193023
MISSOURI,2019,30,9,,14,,149,,184,,8,,19,,34,,94,,"MISSOURI
(38.3675, -92.477244)",,20193024
NEBRASKA,2019,30,8,,9,,110,,84,,6,,5,,22,,17,,"NEBRASKA
(41.527099, -99.810595)",,20193025
NORTH DAKOTA,2019,30,1,,4,,16,,29,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.446305, -100.46931)",,20193026
SOUTH DAKOTA,2019,30,,-,8,,89,,125,,,-,2,,2,,29,,"SOUTH DAKOTA
(44.43614, -100.230491)",,20193027
SOUTH ATLANTIC,2019,30,16,,77,,893,,928,,62,,133,,410,,162,,,SOUTH ATLANTIC,20193028
DELAWARE,2019,30,,-,4,,16,,14,,,-,2,,3,,4,,"DELAWARE
(38.994926, -75.452394)",,20193029
DISTRICT OF COLUMBIA,2019,30,,-,2,,8,,22,,,-,2,,6,,8,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20193030
FLORIDA,2019,30,,-,27,,321,,301,,4,,82,,196,,46,,"FLORIDA
(28.260731, -82.420978)",,20193031
GEORGIA,2019,30,5,,23,,126,,142,,8,,14,,48,,23,,"GEORGIA
(32.638481, -83.426574)",,20193032
MARYLAND,2019,30,2,,7,,45,,38,,20,,21,,59,,27,,"MARYLAND
(38.946466, -76.687282)",,20193033
NORTH CAROLINA,2019,30,,-,13,,116,,133,,,-,7,,25,,32,,"NORTH CAROLINA
(35.52603, -79.130883)",,20193034
SOUTH CAROLINA,2019,30,1,,8,,50,,64,,2,,3,,12,,3,,"SOUTH CAROLINA
(33.878572, -80.864614)",,20193035
VIRGINIA,2019,30,8,,17,,202,,181,,28,,18,,61,,16,,"VIRGINIA
(37.510861, -78.666382)",,20193036
WEST VIRGINIA,2019,30,,-,6,,9,,33,,,-,1,,,-,3,,"WEST VIRGINIA
(38.642579, -80.613729)",,20193037
EAST SOUTH CENTRAL,2019,30,3,,22,,272,,369,,2,,4,,8,,15,,,EAST SOUTH CENTRAL,20193038
ALABAMA,2019,30,2,,7,,100,,85,,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20193039
KENTUCKY,2019,30,,-,9,,39,,95,,,-,2,,,-,6,,"KENTUCKY
(37.526683, -85.290484)",,20193040
MISSISSIPPI,2019,30,,-,8,,34,,46,,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20193041
TENNESSEE,2019,30,1,,9,,99,,143,,2,,3,,8,,9,,"TENNESSEE
(35.842998, -86.343226)",,20193042
WEST SOUTH CENTRAL,2019,30,15,,75,,530,,494,,6,,58,,151,,179,,,WEST SOUTH CENTRAL,20193043
ARKANSAS,2019,30,2,,9,,75,,43,,2,,3,,10,,5,,"ARKANSAS
(34.899825, -92.439162)",,20193044
LOUISIANA,2019,30,5,,9,,77,,76,,,-,1,,2,,8,,"LOUISIANA
(30.921314, -91.840238)",,20193045
OKLAHOMA,2019,30,4,,23,,69,,62,,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20193046
TEXAS,2019,30,4,,55,,309,,313,,4,,57,,139,,166,,"TEXAS
(31.447238, -99.317341)",,20193047
MOUNTAIN,2019,30,15,,59,,423,,436,,8,,10,,73,,80,,,MOUNTAIN,20193048
ARIZONA,2019,30,3,,28,,73,,68,,5,,2,,12,,9,,"ARIZONA
(34.293239, -111.664616)",,20193049
COLORADO,2019,30,8,,11,,102,,109,,3,,7,,38,,43,,"COLORADO
(38.998552, -105.547832)",,20193050
IDAHO,2019,30,2,,7,,60,,56,,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20193051
MONTANA,2019,30,,-,4,,32,,54,,,-,1,,2,,7,,"MONTANA
(47.033521, -109.645127)",,20193052
NEVADA,2019,30,,-,4,,22,,20,,,N,,NC,,N,,N,"NEVADA
(39.283294, -114.916992)",,20193053
NEW MEXICO,2019,30,1,,10,,20,,39,,,-,5,,13,,1,,"NEW MEXICO
(34.421369, -106.108388)",,20193054
UTAH,2019,30,1,,18,,96,,82,,,-,3,,7,,17,,"UTAH
(39.323779, -111.678222)",,20193055
WYOMING,2019,30,,-,5,,18,,8,,,-,1,,1,,3,,"WYOMING
(42.999627, -107.55145)",,20193056
PACIFIC,2019,30,17,,214,,561,,565,,1,,23,,37,,155,,,PACIFIC,20193057
ALASKA,2019,30,,-,2,,6,,10,,,-,1,,,-,2,,"ALASKA
(63.631126, -151.631889)",,20193058
CALIFORNIA,2019,30,8,,25,,296,,346,,,-,6,,27,,150,,"CALIFORNIA
(37.211164, -119.662127)",,20193059
HAWAII,2019,30,,-,1,,3,,4,,,-,0,,,-,1,,"HAWAII
(21.361013, -157.854309)",,20193060
OREGON,2019,30,7,,14,,140,,205,,1,,2,,4,,2,,"OREGON
(43.940449, -120.605279)",,20193061
WASHINGTON,2019,30,2,,198,,116,,,-,,-,23,,6,,,-,"WASHINGTON
(47.411715, -120.592492)",,20193062
US TERRITORIES,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20193063
AMERICAN SAMOA,2019,30,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20193064
NORTHERN MARIANA ISLANDS,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20193065
GUAM,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20193066
PUERTO RICO,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20193067
U.S. VIRGIN ISLANDS,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20193068
NON-US RESIDENTS,2019,30,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20193069
TOTAL,2019,30,151,,459,,5172,,6080,,186,,358,,1648,,2988,,,TOTAL,20193070
US RESIDENTS,2019,31,134,,459,,5586,,6526,,179,,419,,2243,,3104,,,US RESIDENTS,20193101
NEW ENGLAND,2019,31,8,,42,,247,,340,,5,,73,,297,,59,,,NEW ENGLAND,20193102
CONNECTICUT,2019,31,,-,8,,38,,36,,,-,19,,78,,23,,"CONNECTICUT
(41.575155, -72.738288)",,20193103
MAINE,2019,31,1,,6,,19,,21,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20193104
MASSACHUSETTS,2019,31,5,,13,,120,,143,,4,,50,,186,,27,,"MASSACHUSETTS
(42.151077, -71.481104)",,20193105
NEW HAMPSHIRE,2019,31,,-,7,,37,,38,,,-,2,,8,,6,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20193106
RHODE ISLAND,2019,31,,-,3,,15,,75,,1,,5,,19,,3,,"RHODE ISLAND
(41.572574, -71.534637)",,20193107
VERMONT,2019,31,2,,10,,18,,27,,,-,5,,6,,,-,"VERMONT
(44.075252, -72.662695)",,20193108
MIDDLE ATLANTIC,2019,31,24,,51,,779,,539,,42,,136,,587,,166,,,MIDDLE ATLANTIC,20193109
NEW JERSEY,2019,31,2,,14,,178,,74,,1,,50,,190,,53,,"NEW JERSEY
(40.110253, -74.655514)",,20193110
NEW YORK,2019,31,12,,20,,200,,114,,38,,84,,238,,45,,"NEW YORK
(42.921241, -75.59655)",,20193111
NEW YORK CITY,2019,31,,-,13,,157,,97,,3,,38,,159,,68,,,NEW YORK CITY,20193112
PENNSYLVANIA,2019,31,10,,20,,244,,254,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20193113
EAST NORTH CENTRAL,2019,31,39,,116,,1012,,1440,,40,,77,,340,,1710,,,EAST NORTH CENTRAL,20193114
ILLINOIS,2019,31,,-,23,,174,,205,,,-,49,,117,,1229,,"ILLINOIS
(40.124144, -89.148632)",,20193115
INDIANA,2019,31,,-,12,,,-,190,,,-,2,,,-,76,,"INDIANA
(39.919991, -86.2818)",,20193116
MICHIGAN,2019,31,,-,16,,178,,192,,,-,11,,31,,22,,"MICHIGAN
(44.874798, -85.730977)",,20193117
OHIO,2019,31,27,,36,,338,,381,,37,,33,,114,,66,,"OHIO
(40.415534, -82.70936)",,20193118
WISCONSIN,2019,31,12,,48,,322,,472,,3,,23,,78,,317,,"WISCONSIN
(44.639954, -89.732969)",,20193119
WEST NORTH CENTRAL,2019,31,7,,77,,724,,1208,,6,,41,,151,,523,,,WEST NORTH CENTRAL,20193120
IOWA,2019,31,,-,28,,291,,439,,,-,33,,73,,206,,"IOWA
(42.074659, -93.500061)",,20193121
KANSAS,2019,31,,-,7,,52,,50,,,-,2,,8,,22,,"KANSAS
(38.484729, -98.38018)",,20193122
MINNESOTA,2019,31,,-,27,,,-,271,,,-,8,,,-,146,,"MINNESOTA
(46.349153, -94.198308)",,20193123
MISSOURI,2019,31,5,,14,,160,,196,,3,,14,,43,,101,,"MISSOURI
(38.3675, -92.477244)",,20193124
NEBRASKA,2019,31,2,,9,,112,,89,,3,,6,,25,,18,,"NEBRASKA
(41.527099, -99.810595)",,20193125
NORTH DAKOTA,2019,31,,-,4,,16,,33,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.446305, -100.46931)",,20193126
SOUTH DAKOTA,2019,31,,-,7,,93,,130,,,-,2,,2,,30,,"SOUTH DAKOTA
(44.43614, -100.230491)",,20193127
SOUTH ATLANTIC,2019,31,12,,77,,915,,1005,,74,,134,,495,,173,,,SOUTH ATLANTIC,20193128
DELAWARE,2019,31,1,,4,,17,,15,,,-,2,,3,,4,,"DELAWARE
(38.994926, -75.452394)",,20193129
DISTRICT OF COLUMBIA,2019,31,,-,2,,8,,22,,,-,3,,13,,8,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20193130
FLORIDA,2019,31,,-,27,,321,,322,,,-,82,,196,,52,,"FLORIDA
(28.260731, -82.420978)",,20193131
GEORGIA,2019,31,1,,23,,129,,155,,,-,14,,49,,24,,"GEORGIA
(32.638481, -83.426574)",,20193132
MARYLAND,2019,31,,-,7,,45,,45,,36,,22,,96,,28,,"MARYLAND
(38.946466, -76.687282)",,20193133
NORTH CAROLINA,2019,31,,-,13,,116,,146,,,-,7,,25,,33,,"NORTH CAROLINA
(35.52603, -79.130883)",,20193134
SOUTH CAROLINA,2019,31,2,,8,,52,,72,,3,,3,,15,,3,,"SOUTH CAROLINA
(33.878572, -80.864614)",,20193135
VIRGINIA,2019,31,8,,17,,218,,192,,35,,30,,98,,17,,"VIRGINIA
(37.510861, -78.666382)",,20193136
WEST VIRGINIA,2019,31,,-,6,,9,,36,,,-,1,,,-,4,,"WEST VIRGINIA
(38.642579, -80.613729)",,20193137
EAST SOUTH CENTRAL,2019,31,2,,22,,282,,387,,,-,3,,8,,16,,,EAST SOUTH CENTRAL,20193138
ALABAMA,2019,31,,-,7,,101,,90,,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20193139
KENTUCKY,2019,31,,-,7,,44,,99,,,-,2,,,-,6,,"KENTUCKY
(37.526683, -85.290484)",,20193140
MISSISSIPPI,2019,31,,-,8,,34,,47,,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20193141
TENNESSEE,2019,31,2,,9,,103,,151,,,-,3,,8,,10,,"TENNESSEE
(35.842998, -86.343226)",,20193142
WEST SOUTH CENTRAL,2019,31,20,,75,,568,,530,,10,,72,,237,,216,,,WEST SOUTH CENTRAL,20193143
ARKANSAS,2019,31,4,,9,,79,,45,,4,,3,,15,,5,,"ARKANSAS
(34.899825, -92.439162)",,20193144
LOUISIANA,2019,31,7,,9,,86,,80,,1,,2,,4,,8,,"LOUISIANA
(30.921314, -91.840238)",,20193145
OKLAHOMA,2019,31,4,,23,,73,,64,,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20193146
TEXAS,2019,31,5,,55,,330,,341,,5,,70,,218,,203,,"TEXAS
(31.447238, -99.317341)",,20193147
MOUNTAIN,2019,31,6,,59,,457,,484,,2,,15,,87,,84,,,MOUNTAIN,20193148
ARIZONA,2019,31,,-,28,,76,,80,,,-,5,,12,,9,,"ARIZONA
(34.293239, -111.664616)",,20193149
COLORADO,2019,31,2,,11,,113,,120,,2,,9,,49,,44,,"COLORADO
(38.998552, -105.547832)",,20193150
IDAHO,2019,31,3,,7,,63,,61,,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20193151
MONTANA,2019,31,,-,5,,38,,57,,,-,1,,2,,8,,"MONTANA
(47.033521, -109.645127)",,20193152
NEVADA,2019,31,,-,4,,22,,23,,,N,,NC,,N,,N,"NEVADA
(39.283294, -114.916992)",,20193153
NEW MEXICO,2019,31,1,,10,,27,,43,,,-,5,,16,,2,,"NEW MEXICO
(34.421369, -106.108388)",,20193154
UTAH,2019,31,,-,18,,100,,90,,,-,3,,7,,18,,"UTAH
(39.323779, -111.678222)",,20193155
WYOMING,2019,31,,-,5,,18,,10,,,-,1,,1,,3,,"WYOMING
(42.999627, -107.55145)",,20193156
PACIFIC,2019,31,16,,214,,602,,593,,,-,23,,41,,157,,,PACIFIC,20193157
ALASKA,2019,31,,-,2,,6,,10,,,-,1,,,-,2,,"ALASKA
(63.631126, -151.631889)",,20193158
CALIFORNIA,2019,31,10,,25,,322,,366,,,-,5,,31,,152,,"CALIFORNIA
(37.211164, -119.662127)",,20193159
HAWAII,2019,31,,-,1,,4,,5,,,-,0,,,-,1,,"HAWAII
(21.361013, -157.854309)",,20193160
OREGON,2019,31,3,,14,,147,,212,,,-,1,,4,,2,,"OREGON
(43.940449, -120.605279)",,20193161
WASHINGTON,2019,31,3,,198,,123,,,-,,-,23,,6,,,-,"WASHINGTON
(47.411715, -120.592492)",,20193162
US TERRITORIES,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20193163
AMERICAN SAMOA,2019,31,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20193164
NORTHERN MARIANA ISLANDS,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20193165
GUAM,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20193166
PUERTO RICO,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20193167
U.S. VIRGIN ISLANDS,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20193168
NON-US RESIDENTS,2019,31,1,,,NC,1,,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20193169
TOTAL,2019,31,135,,459,,5587,,6526,,179,,419,,2243,,3104,,,TOTAL,20193170
US RESIDENTS,2019,32,158,,459,,5873,,6941,,84,,456,,2556,,3203,,,US RESIDENTS,20193201
NEW ENGLAND,2019,32,8,,42,,264,,357,,8,,85,,335,,62,,,NEW ENGLAND,20193202
CONNECTICUT,2019,32,,-,8,,42,,36,,1,,24,,93,,24,,"CONNECTICUT
(41.575155, -72.738288)",,20193203
MAINE,2019,32,3,,6,,23,,24,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20193204
MASSACHUSETTS,2019,32,5,,13,,128,,150,,2,,57,,203,,29,,"MASSACHUSETTS
(42.151077, -71.481104)",,20193205
NEW HAMPSHIRE,2019,32,,-,7,,38,,45,,,-,2,,8,,6,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20193206
RHODE ISLAND,2019,32,,-,3,,15,,75,,5,,5,,25,,3,,"RHODE ISLAND
(41.572574, -71.534637)",,20193207
VERMONT,2019,32,,-,10,,18,,27,,,-,5,,6,,,-,"VERMONT
(44.075252, -72.662695)",,20193208
MIDDLE ATLANTIC,2019,32,34,,51,,751,,584,,17,,138,,559,,179,,,MIDDLE ATLANTIC,20193209
NEW JERSEY,2019,32,3,,12,,104,,86,,1,,29,,135,,56,,"NEW JERSEY
(40.110253, -74.655514)",,20193210
NEW YORK,2019,32,19,,20,,219,,125,,16,,84,,262,,48,,"NEW YORK
(42.921241, -75.59655)",,20193211
NEW YORK CITY,2019,32,2,,14,,161,,103,,,-,40,,162,,75,,,NEW YORK CITY,20193212
PENNSYLVANIA,2019,32,10,,17,,267,,270,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20193213
EAST NORTH CENTRAL,2019,32,43,,116,,1083,,1546,,7,,78,,375,,1728,,,EAST NORTH CENTRAL,20193214
ILLINOIS,2019,32,,-,23,,174,,226,,,-,50,,131,,1236,,"ILLINOIS
(40.124144, -89.148632)",,20193215
INDIANA,2019,32,,-,12,,,-,197,,,-,1,,,-,76,,"INDIANA
(39.919991, -86.2818)",,20193216
MICHIGAN,2019,32,2,,16,,190,,208,,,-,17,,40,,24,,"MICHIGAN
(44.874798, -85.730977)",,20193217
OHIO,2019,32,25,,36,,363,,395,,5,,37,,119,,74,,"OHIO
(40.415534, -82.70936)",,20193218
WISCONSIN,2019,32,16,,48,,356,,520,,2,,23,,85,,318,,"WISCONSIN
(44.639954, -89.732969)",,20193219
WEST NORTH CENTRAL,2019,32,16,,67,,775,,1271,,3,,44,,169,,532,,,WEST NORTH CENTRAL,20193220
IOWA,2019,32,3,,28,,312,,453,,,-,35,,84,,208,,"IOWA
(42.074659, -93.500061)",,20193221
KANSAS,2019,32,,-,7,,52,,50,,,-,2,,8,,22,,"KANSAS
(38.484729, -98.38018)",,20193222
MINNESOTA,2019,32,,-,27,,,-,298,,,-,3,,,-,149,,"MINNESOTA
(46.349153, -94.198308)",,20193223
MISSOURI,2019,32,7,,14,,173,,207,,1,,15,,46,,105,,"MISSOURI
(38.3675, -92.477244)",,20193224
NEBRASKA,2019,32,6,,9,,119,,98,,2,,6,,28,,18,,"NEBRASKA
(41.527099, -99.810595)",,20193225
NORTH DAKOTA,2019,32,,-,3,,17,,33,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.446305, -100.46931)",,20193226
SOUTH DAKOTA,2019,32,,-,7,,102,,132,,,-,3,,3,,30,,"SOUTH DAKOTA
(44.43614, -100.230491)",,20193227
SOUTH ATLANTIC,2019,32,12,,70,,997,,1059,,44,,156,,707,,183,,,SOUTH ATLANTIC,20193228
DELAWARE,2019,32,,-,4,,17,,16,,,-,2,,3,,4,,"DELAWARE
(38.994926, -75.452394)",,20193229
DISTRICT OF COLUMBIA,2019,32,,-,2,,10,,22,,,-,4,,20,,8,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20193230
FLORIDA,2019,32,,-,27,,355,,338,,,-,98,,325,,55,,"FLORIDA
(28.260731, -82.420978)",,20193231
GEORGIA,2019,32,5,,23,,156,,172,,2,,14,,58,,25,,"GEORGIA
(32.638481, -83.426574)",,20193232
MARYLAND,2019,32,2,,6,,48,,47,,11,,37,,109,,32,,"MARYLAND
(38.946466, -76.687282)",,20193233
NORTH CAROLINA,2019,32,,-,12,,127,,155,,,-,17,,40,,35,,"NORTH CAROLINA
(35.52603, -79.130883)",,20193234
SOUTH CAROLINA,2019,32,2,,5,,54,,76,,3,,4,,19,,3,,"SOUTH CAROLINA
(33.878572, -80.864614)",,20193235
VIRGINIA,2019,32,3,,17,,221,,195,,28,,39,,133,,17,,"VIRGINIA
(37.510861, -78.666382)",,20193236
WEST VIRGINIA,2019,32,,-,6,,9,,38,,,-,1,,,-,4,,"WEST VIRGINIA
(38.642579, -80.613729)",,20193237
EAST SOUTH CENTRAL,2019,32,3,,22,,298,,409,,3,,13,,26,,17,,,EAST SOUTH CENTRAL,20193238
ALABAMA,2019,32,,-,7,,101,,95,,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20193239
